,state,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,totalTestsViralIncrease
1042,NJ,16263.0,18,852.0,76,4073227.0,32327,224385.0,224385.0,1162,36213.0,4297612.0,33489,0,33489
1043,NM,950.0,8,202.0,49,1039372.0,6787,38715.0,38715.0,819,20332.0,1078087.0,7606,0,7606
1044,NV,1736.0,4,520.0,0,681242.0,3693,92853.0,92853.0,789,2346.0,1175414.0,10000,4482,0
1045,NY,25694.0,15,986.0,0,12842711.0,133713,490134.0,490134.0,1628,78753.0,13332845.0,135341,0,0
1046,OH,5161.0,12,1293.0,159,3864695.0,41187,190430.0,179424.0,2425,155181.0,4055125.0,43612,0,43513
1047,OK,1221.0,11,910.0,93,1378605.0,11235,112483.0,112483.0,1628,96245.0,1491088.0,12863,0,12227
1048,OR,646.0,11,194.0,16,765191.0,5699,40810.0,38741.0,367,5870.0,806001.0,6066,6034,0
1049,PA,8592.0,30,1042.0,0,2185079.0,17543,188360.0,180483.0,2063,148804.0,2373439.0,19606,19378,40722
1050,PR,783.0,9,395.0,0,305972.0,0,29804.0,29804.0,87,26253.0,335776.0,87,0,0
1051,RI,1173.0,4,140.0,25,378708.0,3151,29594.0,29594.0,471,2595.0,1015720.0,17160,3622,0
1052,SC,3755.0,47,766.0,40,1481866.0,14674,167485.0,160384.0,1128,84761.0,1649351.0,15802,0,15625
1053,SD,347.0,14,355.0,38,202429.0,1223,36017.0,34977.0,973,26397.0,238446.0,2196,2196,4486
1054,TN,3011.0,41,1424.0,68,3198427.0,18033,237907.0,225658.0,2046,212555.0,3436334.0,20079,0,19824
1055,TX,17286.0,85,4931.0,0,6687617.0,51552,845100.0,845100.0,6291,744283.0,7532717.0,57843,0,57843
1056,UT,563.0,6,318.0,73,876577.0,7691,99549.0,99549.0,1543,73586.0,1293019.0,12708,9424,12708
1057,VA,3524.0,9,1109.0,194,2292638.0,18900,170104.0,159060.0,1332,19321.0,2451698.0,19962,0,0
1059,VT,58.0,0,3.0,0,179690.0,967,1987.0,1987.0,16,1718.0,367990.0,5084,983,5084
1061,WI,1725.0,23,1202.0,151,1730646.0,12082,195823.0,186100.0,3632,145509.0,2965073.0,40867,15495,0
1062,WV,418.0,5,188.0,0,684094.0,8231,21057.0,19907.0,323,16166.0,705151.0,8554,0,8474
1063,WY,68.0,7,81.0,0,111822.0,0,10119.0,8537.0,271,7220.0,121941.0,271,0,0
1064,AK,68.0,1,41.0,0,534496.0,403,12644.0,12644.0,212,6751.0,547140.0,615,0,615
1065,AL,2805.0,0,863.0,249,1120507.0,7948,174528.0,153016.0,0,74439.0,1273523.0,7948,0,7948
1066,AR,1751.0,23,626.0,98,1147353.0,10119,101596.0,95399.0,1155,91317.0,1242752.0,11100,0,11100
1068,AZ,5854.0,17,832.0,101,1428792.0,9117,233912.0,228597.0,975,38883.0,1657389.0,10044,10044,0
1070,CO,2060.0,9,516.0,84,1014193.0,5287,87582.0,81528.0,1208,7286.0,1724038.0,15588,6279,0
1071,CT,4567.0,8,213.0,0,2005255.0,15448,64871.0,62261.0,416,9651.0,2070126.0,15864,0,15846
1073,DE,670.0,2,99.0,0,308105.0,704,23375.0,22263.0,50,12335.0,518758.0,3377,754,0
1076,GU,69.0,2,71.0,0,57275.0,655,3968.0,3950.0,82,2398.0,61243.0,737,736,735
1077,HI,189.0,2,81.0,13,295153.0,0,14350.0,14156.0,88,11150.0,482982.0,3681,0,0
1078,IA,1584.0,29,534.0,0,738352.0,3645,104190.0,104190.0,1179,84671.0,842542.0,4824,4846,0
1079,ID,535.0,4,187.0,46,309309.0,1697,54663.0,48524.0,873,26549.0,357833.0,2451,2451,3991
1083,KY,1363.0,21,794.0,56,1637642.0,6858,90996.0,77233.0,1452,17534.0,1714875.0,7978,0,7978
1084,LA,5790.0,18,608.0,0,2450272.0,13584,181132.0,177399.0,1363,165282.0,2631404.0,14947,14302,0
1085,MA,9780.0,22,519.0,35,2419306.0,12076,146166.0,142941.0,702,118892.0,5366394.0,60353,12722,60353
1086,MD,4058.0,8,463.0,33,1694771.0,6610,137236.0,137236.0,492,7960.0,3138875.0,17076,7102,17076
1087,ME,146.0,0,7.0,1,554783.0,6678,6027.0,5381.0,38,5244.0,560810.0,6716,0,6718
1088,MI,7418.0,35,1050.0,0,4252959.0,33162,167872.0,150989.0,1878,109539.0,4420831.0,35040,0,35177
1089,MN,2281.0,35,588.0,105,1581923.0,7189,126591.0,126262.0,1060,113158.0,2539376.0,16377,8236,0
1092,MS,3223.0,21,711.0,0,729544.0,0,112123.0,99919.0,801,97675.0,841667.0,801,0,0
1093,MT,275.0,23,345.0,13,423282.0,2354,24712.0,24712.0,619,15085.0,447994.0,2973,0,2973
1094,NC,4032.0,40,1219.0,0,3441451.0,18408,250592.0,241792.0,1842,218541.0,3692043.0,20250,0,19903
1095,ND,328.0,13,219.0,23,241431.0,525,34165.0,34165.0,499,27769.0,752495.0,6131,1024,6447
1096,NE,565.0,11,380.0,26,490513.0,2661,59409.0,59409.0,592,39687.0,822904.0,12406,3253,12406
1097,NH,469.0,1,14.0,0,308375.0,2112,9917.0,9917.0,89,8650.0,552925.0,9363,2201,9363
1098,NJ,16245.0,18,844.0,79,4040900.0,27793,223223.0,223223.0,1030,36110.0,4264123.0,28823,0,28823
1099,NM,942.0,7,205.0,53,1032585.0,8619,37896.0,37896.0,594,20165.0,1070481.0,9213,0,9213
1100,NV,1732.0,5,535.0,0,677549.0,2736,92064.0,92064.0,565,2329.0,1165414.0,9385,3301,0
1101,NY,25679.0,7,950.0,0,12708998.0,122763,488506.0,488506.0,2026,78645.0,13197504.0,124789,0,0
1102,OH,5149.0,66,1252.0,135,3823508.0,29733,188005.0,177098.0,2366,153769.0,4011513.0,32099,0,31972
